,value
404,4.695
405,4.705
406,4.7
407,4.69
408,4.69
409,4.7
410,4.69
411,4.685
412,4.695
413,4.705
414,4.68
415,4.68
416,4.695
417,4.705
418,4.69
419,4.7
420,4.715
421,4.73
422,4.735
423,4.73
424,4.74
425,4.75
426,4.775
427,4.775
428,4.785
429,4.815
430,4.82
431,4.82
432,4.845
433,4.86
434,4.865
435,4.88
436,4.88
437,4.905
438,4.92
439,4.92
440,4.93
441,4.945
442,4.955
443,4.95
444,4.945
445,4.945
446,4.945
447,4.94
448,4.945
449,4.93
450,4.935
451,4.92
452,4.91
453,4.89
454,4.895
455,4.89
456,4.87
457,4.855
458,4.865
459,4.87
460,4.865
461,4.85
462,4.85
463,4.845
464,4.845
465,4.83
466,4.835
467,4.84
468,4.84
469,4.83
470,4.835
471,4.84
472,4.845
473,4.825
474,4.82
475,4.825
476,4.83
477,4.815
478,4.815
479,4.835
480,4.835
481,4.815
482,4.805
483,4.81
484,4.805
485,4.795
486,4.8
487,4.805
488,4.82
489,4.815
490,4.81
491,4.81
492,4.83
493,4.835
494,4.825
495,4.825
496,4.835
497,4.835
498,4.82
499,4.815
500,4.825
501,4.82
502,4.8
503,4.795
504,4.795
505,4.775
506,4.755
507,4.745
508,4.75
509,4.76
510,4.75
511,4.745
512,4.74
513,4.75
514,4.745
515,4.73
516,4.745
517,4.75
518,4.745
519,4.735
520,4.73
521,4.745
522,4.735
523,4.74
524,4.74
525,4.75
526,4.75
527,4.745
528,4.735
529,4.76
530,4.75
531,4.745
532,4.745
533,4.76
534,4.77
535,4.76
536,4.75
537,4.76
538,4.77
539,4.76
540,4.74
541,4.765
542,4.78
543,4.77
544,4.76
545,4.78
546,4.785
547,4.795
548,4.795
549,4.81
550,4.82
551,4.875
552,4.945
553,5.2
554,5.705
555,5.925
556,5.56
557,5.235
558,5.215
559,5.255
560,5.25
561,5.255
562,5.29
563,5.31
564,5.31
565,5.29
566,5.28
567,5.3
568,5.31
569,5.295
570,5.3
571,5.3
572,5.25
573,5.155
574,5.085
575,5.065
576,4.91
577,4.78
578,4.75
579,4.81
580,4.835
581,4.835
582,4.805
583,4.785
584,4.745
585,4.705
586,4.7
587,4.705
588,4.7
589,4.675
590,4.665
591,4.68
592,4.7
593,4.685
594,4.665
595,4.65
596,4.64
597,4.655
598,4.655
599,4.645
600,4.655
601,4.675
602,4.66
603,4.665
604,4.69
605,4.685
606,4.67
607,4.67
608,4.695
609,4.7
610,4.695
611,4.685
612,4.69
613,4.69
614,4.685
615,4.69
616,4.7
617,4.705
618,4.715
619,4.705
620,4.715
621,4.735
622,4.73
623,4.715
624,4.73
625,4.745
626,4.76
627,4.76
628,4.77
629,4.8
630,4.815
631,4.805
632,4.83
633,4.845
634,4.835
635,4.845
636,4.86
637,4.89
638,4.905
639,4.905
640,4.915
641,4.935
642,4.945
643,4.945
644,4.945
645,4.955
646,4.965
647,4.95
648,4.94
649,4.94
650,4.94
651,4.94
652,4.925
653,4.91
654,4.92
655,4.92
656,4.915
657,4.9
658,4.91
659,4.915
660,4.91
661,4.9
662,4.905
663,4.92
664,4.915
665,4.895
666,4.895
667,4.9
668,4.885
669,4.885
670,4.885
671,4.895
672,4.875
673,4.855
674,4.87
675,4.88
676,4.875
677,4.87
678,4.88
679,4.905
680,4.9
681,4.895
682,4.895
683,4.895
684,4.895
685,4.875
686,4.885
687,4.895
688,4.9
689,4.9
690,4.89
691,4.89
692,4.88
693,4.87
694,4.87
695,4.865
696,4.89
697,4.875
698,4.87
699,4.86
700,4.865
701,4.885
702,4.87
703,4.865
704,4.86
705,4.85
706,4.84
707,4.845
708,4.86
709,4.85
710,4.845
711,4.855
712,4.87
713,4.865
714,4.855
715,4.845
716,4.845
717,4.85
718,4.85
719,4.84
720,4.85
721,4.845
722,4.83
723,4.825
724,4.83
725,4.84
726,4.85
727,4.835
728,4.84
729,4.88
730,4.88
731,4.895
732,4.885
733,4.895
734,4.895
735,4.885
736,4.885
737,4.89
738,4.89
739,4.89
740,4.88
741,4.88
742,4.88
743,4.865
744,4.835
745,4.84
746,4.855
747,4.845
748,4.85
749,4.85
750,4.855
751,4.835
752,4.835
753,4.84
754,4.86
755,4.855
756,4.855
757,4.86
758,4.88
759,4.915
760,4.98
761,5.105
762,5.49
763,5.95
764,5.87
765,5.44
766,5.245
767,5.28
768,5.295
769,5.32
770,5.365
771,5.42
772,5.455
773,5.455
774,5.465
775,5.465
776,5.48
777,5.54
778,5.57
779,5.59
780,5.575
781,5.505
782,5.4
783,5.345
784,5.285
785,5.165
786,5.0
787,4.92
788,4.925
789,4.935
790,4.9
791,4.865
792,4.83
793,4.76
794,4.715
795,4.695
796,4.725
797,4.725
798,4.71
799,4.69
800,4.685
801,4.725
802,4.725
803,4.715
804,4.725
805,4.705
806,4.695
807,4.695
808,4.725
809,4.735
810,4.745
811,4.76
812,4.77
813,4.77
814,4.775
815,4.78
816,4.78
817,4.78
818,4.77
819,4.77
820,4.79
821,4.8
822,4.8
823,4.79
824,4.79
825,4.785
826,4.795
827,4.77
828,4.78
829,4.8
830,4.81
831,4.815
832,4.805
833,4.835
834,4.84
835,4.845
836,4.85
837,4.88
838,4.89
839,4.875
840,4.885
841,4.925
842,4.965
843,4.965
844,4.97
845,4.985
846,4.995
847,5.005
848,5.005
849,5.005
850,5.01
851,5.025
852,5.02
853,5.015
854,5.04
855,5.03
856,5.02
857,5.0
858,5.015
859,5.02
860,5.01
861,5.0
862,4.99
863,4.985
864,4.98
865,4.96
866,4.96
867,4.965
868,4.95
869,4.945
870,4.93
871,4.93
872,4.94
873,4.91
874,4.91
875,4.915
876,4.94
877,4.925
878,4.92
879,4.93
880,4.925
881,4.92
882,4.91
883,4.92
884,4.925
885,4.925
886,4.915
887,4.925
888,4.925
889,4.91
890,4.91
891,4.915
892,4.915
893,4.925
894,4.915
895,4.905
896,4.91
897,4.91
898,4.91
899,4.89
900,4.895
901,4.91
902,4.895
903,4.88
904,4.885
905,4.895
906,4.88
907,4.865
908,4.885
909,4.885
910,4.865
911,4.86
912,4.865
913,4.865
914,4.855
915,4.855
916,4.86
917,4.87
918,4.86
919,4.845
920,4.845
921,4.855
922,4.855
923,4.85
924,4.845
925,4.85
926,4.845
927,4.84
928,4.84
929,4.855
930,4.835
931,4.835
932,4.825
933,4.835
934,4.84
935,4.83
936,4.83
937,4.835
938,4.83
939,4.815
940,4.815
941,4.825
942,4.835
943,4.825
944,4.81
945,4.815
946,4.83
947,4.815
948,4.805
949,4.81
950,4.82
951,4.82
952,4.805
953,4.81
954,4.82
955,4.815
956,4.825
957,4.81
958,4.81
959,4.815
960,4.81
961,4.805
962,4.805
963,4.81
964,4.805
965,4.8
966,4.815
967,4.815
968,4.81
969,4.805
970,4.825
971,4.865
972,4.87
973,4.88
974,4.91
975,4.93
976,5.085
977,5.365
978,5.85
979,6.01
980,5.645
981,5.345
982,5.28
983,5.315
984,5.315
985,5.33
986,5.335
987,5.345
988,5.36
989,5.335
990,5.32
991,5.33
992,5.35
993,5.345
994,5.335
995,5.335
996,5.315
997,5.26
998,5.165
999,5.125
1000,5.11
1001,4.96
1002,4.84
1003,4.795
1004,4.84
1005,4.88
1006,4.885
1007,4.85
1008,4.82
1009,4.765
1010,4.715
1011,4.685
1012,4.7
1013,4.71
1014,4.705
1015,4.685
1016,4.68
1017,4.685
1018,4.68
1019,4.665
1020,4.655
1021,4.645
1022,4.64
1023,4.63
1024,4.64
1025,4.645
1026,4.65
1027,4.645
1028,4.64
1029,4.67
1030,4.67
1031,4.67
1032,4.665
1033,4.675
1034,4.665
1035,4.66
1036,4.665
1037,4.67
1038,4.685
1039,4.675
1040,4.675
1041,4.69
1042,4.695
1043,4.68
1044,4.675
1045,4.69
1046,4.705
1047,4.705
1048,4.7
1049,4.695
1050,4.7
1051,4.715
1052,4.71
1053,4.7
1054,4.735
1055,4.735
1056,4.745
1057,4.765
1058,4.79
1059,4.8
1060,4.8
1061,4.8
1062,4.825
1063,4.835
1064,4.845
1065,4.845
1066,4.875
1067,4.89
1068,4.89
1069,4.88
1070,4.9
1071,4.92
1072,4.91
1073,4.91
1074,4.905
1075,4.915
1076,4.93
1077,4.915
1078,4.915
1079,4.93
1080,4.93
1081,4.915
1082,4.905
1083,4.915
1084,4.91
1085,4.89
1086,4.87
1087,4.885
1088,4.875
1089,4.855
1090,4.85
1091,4.86
1092,4.875
1093,4.865
1094,4.845
1095,4.85
1096,4.875
1097,4.855
1098,4.845
1099,4.845
1100,4.85
1101,4.855
1102,4.85
1103,4.84
1104,4.86
1105,4.86
1106,4.865
1107,4.845
1108,4.86
1109,4.865
1110,4.865
1111,4.855
1112,4.86
1113,4.87
1114,4.855
1115,4.855
1116,4.86
1117,4.865
1118,4.855
1119,4.86
1120,4.85
1121,4.87
1122,4.85
1123,4.84
1124,4.84
1125,4.85
1126,4.855
1127,4.84
1128,4.835
1129,4.845
1130,4.845
1131,4.835
1132,4.83
1133,4.83
1134,4.84
1135,4.825
1136,4.82
1137,4.83
1138,4.83
1139,4.825
1140,4.82
1141,4.815
1142,4.82
1143,4.815
1144,4.795
1145,4.805
1146,4.825
1147,4.82
1148,4.795
1149,4.805
1150,4.81
1151,4.81
1152,4.805
1153,4.805
1154,4.815
1155,4.825
1156,4.805
1157,4.8
1158,4.815
1159,4.825
1160,4.805
1161,4.795
1162,4.81
1163,4.815
1164,4.8
1165,4.79
1166,4.795
1167,4.82
1168,4.81
1169,4.8
1170,4.8
1171,4.82
1172,4.815
1173,4.795
1174,4.8
1175,4.805
1176,4.805
1177,4.805
1178,4.8
1179,4.805
1180,4.81
1181,4.805
1182,4.805
1183,4.82
1184,4.83
1185,4.83
1186,4.815
1187,4.82
1188,4.835
1189,4.825
1190,4.83
1191,4.855
1192,4.875
1193,4.91
1194,4.99
1195,5.22
1196,5.695
1197,5.85
1198,5.485
1199,5.25
1200,5.225
1201,5.28
1202,5.285
1203,5.285
1204,5.32
1205,5.335
1206,5.315
1207,5.275
1208,5.3
1209,5.31
1210,5.305
1211,5.27
1212,5.255
1213,5.22
1214,5.13
1215,5.045
1216,4.99
1217,4.91
1218,4.765
1219,4.7
1220,4.73
1221,4.785
1222,4.815
1223,4.81
1224,4.765
1225,4.75
1226,4.72
1227,4.715
1228,4.72
1229,4.74
1230,4.755
1231,4.73
1232,4.71
1233,4.715
1234,4.71
1235,4.685
1236,4.655
1237,4.655
1238,4.67
1239,4.68
1240,4.675
1241,4.67
1242,4.675
1243,4.67
1244,4.66
1245,4.655
1246,4.665
1247,4.655
1248,4.635
1249,4.64
1250,4.645
1251,4.64
1252,4.63
1253,4.625
1254,4.64
1255,4.635
1256,4.615
1257,4.61
1258,4.62
1259,4.63
1260,4.62
1261,4.63
1262,4.65
1263,4.66
1264,4.665
1265,4.65
1266,4.665
1267,4.685
1268,4.695
1269,4.69
1270,4.71
1271,4.725
1272,4.735
1273,4.735
1274,4.765
1275,4.78
1276,4.8
1277,4.805
1278,4.835
1279,4.85
1280,4.87
1281,4.87
1282,4.88
1283,4.905
1284,4.93
1285,4.94
1286,4.945
1287,4.97
1288,4.975
1289,4.945
1290,4.955
1291,4.97
1292,4.98
1293,4.99
1294,4.975
1295,4.965
1296,4.955
1297,4.94
1298,4.94
1299,4.945
1300,4.94
1301,4.95
1302,4.925
1303,4.91
1304,4.91
1305,4.905
1306,4.91
1307,4.895
1308,4.895
1309,4.91
1310,4.9
1311,4.91
1312,4.925
1313,4.92
1314,4.88
1315,4.87
1316,4.88
1317,4.885
1318,4.89
1319,4.885
1320,4.88
1321,4.89
1322,4.875
1323,4.865
1324,4.87
1325,4.88
1326,4.89
1327,4.87
1328,4.875
1329,4.89
1330,4.885
1331,4.86
1332,4.855
1333,4.865
1334,4.875
1335,4.88
1336,4.87
1337,4.885
1338,4.89
1339,4.88
1340,4.86
1341,4.85
1342,4.86
1343,4.86
1344,4.84
1345,4.85
1346,4.86
1347,4.855
1348,4.83
1349,4.845
1350,4.855
1351,4.855
1352,4.83
1353,4.83
1354,4.855
1355,4.85
1356,4.83
1357,4.83
1358,4.845
1359,4.84
1360,4.825
1361,4.81
1362,4.815
1363,4.835
1364,4.835
1365,4.82
1366,4.83
1367,4.84
1368,4.83
1369,4.815
1370,4.825
1371,4.84
1372,4.84
1373,4.82
1374,4.815
1375,4.82
1376,4.83
1377,4.83
1378,4.835
1379,4.85
1380,4.85
1381,4.825
1382,4.83
1383,4.855
1384,4.855
1385,4.845
1386,4.835
1387,4.855
1388,4.865
1389,4.87
1390,4.85
1391,4.86
1392,4.865
1393,4.855
1394,4.835
1395,4.835
1396,4.855
1397,4.885
1398,4.89
1399,4.91
1400,4.92
1401,5.025
1402,5.205
1403,5.715
1404,5.965
1405,5.615
1406,5.325
1407,5.31
1408,5.355
1409,5.365
1410,5.375
1411,5.385
1412,5.395
1413,5.37
1414,5.35
1415,5.36
1416,5.38
1417,5.385
1418,5.355
1419,5.29
1420,5.185
1421,5.08
1422,4.965
1423,4.805
1424,4.7
1425,4.68
1426,4.715
1427,4.725
1428,4.715
1429,4.705
1430,4.67
1431,4.64
1432,4.655
1433,4.69
1434,4.725
1435,4.735
1436,4.74
1437,4.765
1438,4.775
1439,4.755
1440,4.74
1441,4.74
1442,4.785
1443,4.8
1444,4.8
1445,4.81
1446,4.81
1447,4.815
1448,4.81
1449,4.825
1450,4.83
1451,4.835
1452,4.815
1453,4.84
1454,4.88
1455,4.91
1456,4.89
1457,4.88
1458,4.895
1459,4.905
1460,4.895
1461,4.88
1462,4.88
1463,4.885
1464,4.885
1465,4.875
1466,4.875
1467,4.865
1468,4.835
1469,4.8
1470,4.81
1471,4.84
1472,4.865
1473,4.86
1474,4.87
1475,4.865
1476,4.875
1477,4.87
1478,4.875
1479,4.895
1480,4.89
1481,4.905
1482,4.925
1483,4.955
1484,4.975
1485,4.98
1486,4.995
1487,5.03
1488,5.04
1489,5.04
1490,5.03
1491,5.04
1492,5.04
1493,5.04
1494,5.04
1495,5.06
1496,5.045
1497,5.035
1498,5.0
1499,4.995
1500,5.0
1501,5.015
1502,4.995
1503,5.0
1504,4.995
1505,4.985
1506,4.965
1507,4.95
1508,4.96
1509,4.96
1510,4.94
1511,4.935
1512,4.94
1513,4.945
1514,4.94
1515,4.925
1516,4.925
1517,4.935
1518,4.93
1519,4.92
1520,4.925
1521,4.935
1522,4.92
1523,4.915
1524,4.905
1525,4.91
1526,4.915
1527,4.9
1528,4.9
1529,4.9
1530,4.905
1531,4.9
1532,4.9
1533,4.905
1534,4.905
1535,4.89
1536,4.88
1537,4.895
1538,4.9
1539,4.89
1540,4.87
1541,4.87
1542,4.885
1543,4.875
1544,4.86
1545,4.865
1546,4.88
1547,4.87
1548,4.845
1549,4.855
1550,4.86
1551,4.87
1552,4.86
1553,4.855
1554,4.87
1555,4.87
1556,4.855
1557,4.845
1558,4.86
1559,4.855
1560,4.845
1561,4.84
1562,4.86
1563,4.865
1564,4.845
1565,4.85
1566,4.85
1567,4.85
1568,4.845
1569,4.835
1570,4.845
1571,4.85
1572,4.84
1573,4.82
1574,4.83
1575,4.835
1576,4.845
1577,4.83
1578,4.83
1579,4.845
1580,4.845
1581,4.825
1582,4.83
1583,4.84
1584,4.845
1585,4.835
1586,4.835
1587,4.85
1588,4.865
1589,4.86
1590,4.835
1591,4.855
1592,4.86
1593,4.855
1594,4.855
1595,4.87
1596,4.905
1597,4.94
1598,5.01
1599,5.28
1600,5.41
1601,5.915
1602,5.535
1603,5.275
1604,5.28
1605,5.315
1606,5.325
1607,5.34
1608,5.375
1609,5.39
1610,5.38
1611,5.355
1612,5.37
1613,5.385
1614,5.365
1615,5.325
1616,5.295
1617,5.22
1618,5.115
1619,5.035
1620,4.96
1621,4.835
1622,4.71
1623,4.665
1624,4.7
1625,4.72
1626,4.72
1627,4.67
1628,4.65
1629,4.66
1630,4.665
1631,4.68
1632,4.7
1633,4.73
1634,4.73
1635,4.735
1636,4.73
1637,4.725
1638,4.735
1639,4.7
1640,4.695
1641,4.725
1642,4.73
1643,4.73
1644,4.73
1645,4.745
1646,4.76
1647,4.76
1648,4.75
1649,4.755
1650,4.75
1651,4.765
1652,4.755
1653,4.745
1654,4.76
1655,4.755
1656,4.735
1657,4.735
1658,4.75
1659,4.755
1660,4.75
1661,4.75
1662,4.755
1663,4.765
1664,4.745
1665,4.755
1666,4.76
1667,4.78
1668,4.785
1669,4.795
1670,4.82
1671,4.84
1672,4.85
1673,4.845
1674,4.85
1675,4.855
1676,4.87
1677,4.875
1678,4.885
1679,4.915
1680,4.925
1681,4.925
1682,4.915
1683,4.925
1684,4.93
1685,4.925
1686,4.945
1687,4.965
1688,4.98
1689,4.97
1690,4.96
1691,4.99
1692,4.99
1693,4.98
1694,4.97
1695,4.97
1696,4.975
1697,4.96
1698,4.945
1699,4.945
1700,4.95
1701,4.935
1702,4.915
1703,4.91
1704,4.92
1705,4.9
1706,4.905
1707,4.88
1708,4.895
1709,4.9
1710,4.89
1711,4.88
1712,4.88
1713,4.89
1714,4.875
1715,4.86
1716,4.87
1717,4.875
1718,4.875
1719,4.865
1720,4.88
1721,4.875
1722,4.88
1723,4.86
1724,4.86
1725,4.86
1726,4.86
1727,4.855
1728,4.85
1729,4.85
1730,4.86
1731,4.845
1732,4.84
1733,4.855
1734,4.845
1735,4.835
1736,4.83
1737,4.84
1738,4.84
1739,4.83
1740,4.815
1741,4.82
1742,4.825
1743,4.82
1744,4.81
1745,4.82
1746,4.82
1747,4.82
1748,4.79
1749,4.805
1750,4.81
1751,4.815
1752,4.8
1753,4.8
1754,4.81
1755,4.815
1756,4.805
1757,4.81
1758,4.8
1759,4.81
1760,4.8
1761,4.8
1762,4.81
1763,4.8
1764,4.805
1765,4.8
1766,4.8
1767,4.815
1768,4.8
1769,4.79
1770,4.8
1771,4.81
1772,4.805
1773,4.79
1774,4.795
1775,4.8
1776,4.815
1777,4.805
1778,4.795
1779,4.815
1780,4.815
1781,4.805
1782,4.805
1783,4.82
1784,4.82
1785,4.82
1786,4.805
1787,4.825
1788,4.82
1789,4.825
1790,4.825
1791,4.845
1792,4.84
1793,4.845
1794,4.86
1795,4.905
1796,4.975
1797,5.15
1798,5.575
1799,5.92
1800,5.95
1801,5.335
1802,5.235
1803,5.265
1804,5.27
1805,5.265
1806,5.26
1807,5.265
1808,5.275
1809,5.265
1810,5.23
1811,5.235
1812,5.245
1813,5.215
1814,5.155
1815,5.085
1816,5.005
1817,4.925
1818,4.825
1819,4.705
1820,4.61
1821,4.565
1822,4.59
1823,4.64
1824,4.685
1825,4.7
1826,4.705
1827,4.685
1828,4.69
1829,4.72
1830,4.755
1831,4.79
1832,4.805
1833,4.795
1834,4.76
1835,4.76
1836,4.745
1837,4.75
1838,4.765
1839,4.775
1840,4.78
1841,4.78
1842,4.795
1843,4.795
1844,4.77
1845,4.78
1846,4.805
1847,4.785
1848,4.78
1849,4.795
1850,4.805
1851,4.795
1852,4.78
1853,4.78
1854,4.795
1855,4.785
1856,4.78
1857,4.78
1858,4.785
1859,4.79
1860,4.8
1861,4.795
1862,4.805
1863,4.81
1864,4.81
1865,4.8
1866,4.81
1867,4.83
1868,4.83
1869,4.825
1870,4.845
1871,4.87
1872,4.87
1873,4.86
1874,4.87
1875,4.885
1876,4.91
1877,4.915
1878,4.925
1879,4.935
1880,4.96
1881,4.945
1882,4.955
1883,4.97
1884,4.99
1885,4.985
1886,4.985
1887,5.0
1888,5.015
1889,5.01
1890,4.995
1891,5.005
1892,5.01
1893,5.0
1894,4.99
1895,4.985
1896,4.98
1897,4.965
1898,4.95
1899,4.94
1900,4.945
1901,4.94
1902,4.925
1903,4.915
1904,4.915
1905,4.915
1906,4.905
1907,4.9
1908,4.91
1909,4.91
1910,4.895
1911,4.89
1912,4.9
1913,4.9
1914,4.895
1915,4.88
1916,4.88
1917,4.89
1918,4.88
1919,4.875
1920,4.885
1921,4.885
1922,4.89
1923,4.895
1924,4.905
1925,4.905
1926,4.915
1927,4.905
1928,4.91
1929,4.915
1930,4.925
1931,4.9
1932,4.905
1933,4.915
1934,4.91
1935,4.875
1936,4.855
1937,4.855
1938,4.855
1939,4.825
1940,4.81
1941,4.815
1942,4.835
1943,4.83
1944,4.815
1945,4.815
1946,4.815
1947,4.8
1948,4.795
1949,4.8
1950,4.805
1951,4.795
1952,4.78
1953,4.78
1954,4.8
1955,4.805
1956,4.785
1957,4.78
1958,4.8
1959,4.805
1960,4.79
1961,4.78
1962,4.785
1963,4.79
1964,4.785
1965,4.785
1966,4.8
1967,4.8
1968,4.795
1969,4.77
1970,4.79
1971,4.795
1972,4.79
1973,4.77
1974,4.78
1975,4.785
1976,4.785
1977,4.775
1978,4.775
1979,4.795
1980,4.79
1981,4.79
1982,4.79
1983,4.785
1984,4.79
1985,4.785
1986,4.78
1987,4.805
1988,4.81
1989,4.81
1990,4.805
1991,4.81
1992,4.825
1993,4.82
1994,4.805
1995,4.82
1996,4.845
1997,4.84
1998,4.835
1999,4.86
2000,4.875
2001,4.985
2002,5.165
2003,5.66
2004,6.015
2005,5.725
2006,5.345
2007,5.26
2008,5.295
2009,5.31
2010,5.31
2011,5.305
2012,5.315
2013,5.325
2014,5.31
2015,5.285
2016,5.285
2017,5.3
2018,5.29
2019,5.27
2020,5.28
2021,5.28
2022,5.23
2023,5.165
2024,5.11
2025,5.09
2026,4.935
2027,4.8
2028,4.77
2029,4.82
2030,4.855
2031,4.82
2032,4.79
2033,4.78
2034,4.755
2035,4.715
2036,4.71
2037,4.745
2038,4.745
2039,4.725
2040,4.705
2041,4.725
2042,4.75
2043,4.75
2044,4.715
2045,4.71
2046,4.7
2047,4.715
2048,4.715
2049,4.73
2050,4.725
2051,4.735
2052,4.725
2053,4.74
2054,4.755
2055,4.775
2056,4.755
2057,4.75
2058,4.76
2059,4.76
2060,4.76
2061,4.75
2062,4.76
2063,4.76
2064,4.775
2065,4.755
2066,4.785
2067,4.795
2068,4.795
2069,4.77
2070,4.79
2071,4.8
2072,4.795
2073,4.795
2074,4.81
2075,4.825
2076,4.84
2077,4.825
2078,4.835
2079,4.855
2080,4.88
2081,4.86
2082,4.87
2083,4.89
2084,4.91
2085,4.92
2086,4.925
2087,4.95
2088,4.955
2089,4.97
2090,4.97
2091,4.985
2092,5.005
2093,4.995
2094,4.98
2095,4.99
2096,5.005
2097,5.0
2098,4.995
2099,4.99
2100,4.995
2101,4.985
2102,4.975
2103,4.97
2104,4.985
2105,4.985
2106,4.96
2107,4.95
2108,4.955
2109,4.96
2110,4.955
2111,4.945
2112,4.94
2113,4.935
2114,4.93
2115,4.92
2116,4.93
2117,4.955
2118,4.935
2119,4.92
2120,4.93
2121,4.93
2122,4.915
2123,4.915
2124,4.915
2125,4.925
2126,4.945
2127,4.93
2128,4.935
2129,4.95
2130,4.95
2131,4.925
2132,4.905
2133,4.92
2134,4.915
2135,4.905
2136,4.9
2137,4.91
2138,4.915
2139,4.91
2140,4.915
2141,4.94
