,value
184,4.93
185,4.925
186,4.925
187,4.94
188,4.94
189,4.92
190,4.92
191,4.915
192,4.92
193,4.93
194,4.93
195,4.92
196,4.89
197,4.895
198,4.91
199,4.905
200,4.915
201,4.905
202,4.89
203,4.86
204,4.865
205,4.87
206,4.88
207,4.875
208,4.87
209,4.855
210,4.85
211,4.865
212,4.855
213,4.855
214,4.85
215,4.84
216,4.86
217,4.865
218,4.86
219,4.85
220,4.845
221,4.85
222,4.865
223,4.865
224,4.86
225,4.85
226,4.845
227,4.85
228,4.855
229,4.865
230,4.855
231,4.84
232,4.835
233,4.835
234,4.84
235,4.86
236,4.855
237,4.85
238,4.84
239,4.835
240,4.835
241,4.86
242,4.865
243,4.85
244,4.845
245,4.835
246,4.85
247,4.845
248,4.83
249,4.815
250,4.8
251,4.815
252,4.83
253,4.845
254,4.835
255,4.81
256,4.795
257,4.805
258,4.805
259,4.82
260,4.81
261,4.785
262,4.78
263,4.755
264,4.765
265,4.785
266,4.78
267,4.78
268,4.745
269,4.755
270,4.77
271,4.78
272,4.76
273,4.76
274,4.745
275,4.75
276,4.765
277,4.77
278,4.77
279,4.76
280,4.75
281,4.745
282,4.745
283,4.77
284,4.76
285,4.76
286,4.74
287,4.745
288,4.765
289,4.775
290,4.78
291,4.775
292,4.765
293,4.76
294,4.775
295,4.785
296,4.775
297,4.78
298,4.78
299,4.78
300,4.79
301,4.79
302,4.795
303,4.79
304,4.785
305,4.79
306,4.81
307,4.825
308,4.82
309,4.8
310,4.79
311,4.775
312,4.795
313,4.805
314,4.81
315,4.805
316,4.775
317,4.79
318,4.81
319,4.83
320,4.805
321,4.785
322,4.785
323,4.775
324,4.795
325,4.815
326,4.82
327,4.815
328,4.815
329,4.805
330,4.82
331,4.83
332,4.82
333,4.8
334,4.795
335,4.8
336,4.815
337,4.815
338,4.81
339,4.81
340,4.81
341,4.815
342,4.82
343,4.84
344,4.855
345,4.845
346,4.84
347,4.855
348,4.87
349,4.885
350,4.895
351,4.895
352,4.89
353,4.92
354,4.94
355,4.965
356,4.975
357,4.97
358,4.97
359,5.0
360,5.015
361,5.025
362,5.035
363,5.03
364,5.025
365,5.025
366,5.045
367,5.065
368,5.07
369,5.055
370,5.01
371,4.985
372,4.955
373,4.935
374,4.9
375,4.845
376,4.8
377,4.77
378,4.75
379,4.77
380,4.77
381,4.765
382,4.76
383,4.755
384,4.76
385,4.775
386,4.78
387,4.765
388,4.75
389,4.74
390,4.73
391,4.76
392,4.78
393,4.8
394,4.78
395,4.76
396,4.765
397,4.775
398,4.78
399,4.765
400,4.77
401,4.77
402,4.775
403,4.77
404,4.765
405,4.75
406,4.75
407,4.76
408,4.775
409,4.79
410,4.79
411,4.77
412,4.76
413,4.75
414,4.745
415,4.735
416,4.73
417,4.745
418,4.775
419,4.805
420,4.845
421,4.87
422,4.855
423,4.78
424,4.695
425,4.625
426,4.61
427,4.625
428,4.635
429,4.625
430,4.59
431,4.545
432,4.52
433,4.49
434,4.465
435,4.44
436,4.395
437,4.34
438,4.275
439,4.22
440,4.205
441,4.185
442,4.185
443,4.205
444,4.24
445,4.265
446,4.3
447,4.365
448,4.435
449,4.51
450,4.57
451,4.61
452,4.64
453,4.68
454,4.73
455,4.765
456,4.805
457,4.82
458,4.82
459,4.82
460,4.82
461,4.83
462,4.845
463,4.855
464,4.845
465,4.83
466,4.82
467,4.845
468,4.865
469,4.875
470,4.86
471,4.84
472,4.845
473,4.86
474,4.875
475,4.88
476,4.87
477,4.875
478,4.86
479,4.855
480,4.85
481,4.88
482,4.89
483,4.9
484,4.895
485,4.9
486,4.895
487,4.895
488,4.895
489,4.88
490,4.88
491,4.88
492,4.89
493,4.92
494,4.925
495,4.92
496,4.905
497,4.89
498,4.905
499,4.94
500,4.94
501,4.935
502,4.925
503,4.92
504,4.925
505,4.945
506,4.965
507,4.965
508,4.945
509,4.95
510,4.975
511,4.98
512,4.97
513,4.96
514,4.965
515,4.98
516,4.985
517,5.005
518,5.0
519,5.01
520,5.005
521,5.01
522,5.01
523,5.025
524,5.01
525,5.005
526,4.99
527,5.0
528,5.015
529,5.02
530,5.01
531,5.005
532,5.0
533,5.015
534,5.035
535,5.03
536,5.02
537,5.005
538,4.99
539,4.995
540,5.02
541,5.02
542,5.005
543,4.99
544,4.975
545,4.965
546,4.96
547,4.98
548,4.98
549,4.975
550,4.955
551,4.93
552,4.925
553,4.95
554,4.955
555,4.94
556,4.93
557,4.915
558,4.92
559,4.95
560,4.93
561,4.915
562,4.91
563,4.905
564,4.905
565,4.915
566,4.915
567,4.905
568,4.895
569,4.91
570,4.92
571,4.925
572,4.91
573,4.895
574,4.88
575,4.88
576,4.88
577,4.875
578,4.875
579,4.89
580,4.895
581,4.9
582,4.895
583,4.885
584,4.885
585,4.86
586,4.855
587,4.87
588,4.885
589,4.895
590,4.885
591,4.87
592,4.835
593,4.84
594,4.86
595,4.87
596,4.86
597,4.85
598,4.845
599,4.835
600,4.855
601,4.86
602,4.85
603,4.82
604,4.815
605,4.82
606,4.81
607,4.83
608,4.85
609,4.82
610,4.8
611,4.81
612,4.815
613,4.835
614,4.835
615,4.825
616,4.805
617,4.8
618,4.8
619,4.805
620,4.8
621,4.805
622,4.78
623,4.785
624,4.805
625,4.81
626,4.8
627,4.785
628,4.78
629,4.775
630,4.79
631,4.805
632,4.8
633,4.795
634,4.78
635,4.775
636,4.78
637,4.79
638,4.79
639,4.81
640,4.805
641,4.815
642,4.81
643,4.81
644,4.815
645,4.805
646,4.8
647,4.815
648,4.82
649,4.82
650,4.815
651,4.815
652,4.8
653,4.8
654,4.81
655,4.81
656,4.815
657,4.825
658,4.825
659,4.82
660,4.825
661,4.82
662,4.825
663,4.815
664,4.815
665,4.835
666,4.845
667,4.83
668,4.835
669,4.835
670,4.805
671,4.82
672,4.83
673,4.835
674,4.825
675,4.82
676,4.83
677,4.835
678,4.855
679,4.85
680,4.84
681,4.83
682,4.825
683,4.82
684,4.835
685,4.845
686,4.85
687,4.85
688,4.835
689,4.83
690,4.84
691,4.845
692,4.845
693,4.845
694,4.845
695,4.86
696,4.895
697,4.915
698,4.92
699,4.915
700,4.905
701,4.915
702,4.92
703,4.945
704,4.97
705,5.0
706,5.005
707,5.03
708,5.035
709,5.055
710,5.055
711,5.035
712,5.04
713,5.08
714,5.125
715,5.13
716,5.125
717,5.11
718,5.08
719,5.04
720,5.0
721,4.985
722,4.945
723,4.905
724,4.855
725,4.815
726,4.805
727,4.805
728,4.805
729,4.815
730,4.8
731,4.805
732,4.815
733,4.83
734,4.815
735,4.805
736,4.795
737,4.805
738,4.805
739,4.815
740,4.81
741,4.81
742,4.805
743,4.8
744,4.805
745,4.815
746,4.835
747,4.835
748,4.81
749,4.8
750,4.8
751,4.81
752,4.775
753,4.78
754,4.77
755,4.775
756,4.775
757,4.8
758,4.805
759,4.805
760,4.775
761,4.78
762,4.8
763,4.805
764,4.795
765,4.77
766,4.78
767,4.8
768,4.835
769,4.85
770,4.855
771,4.84
772,4.77
773,4.695
774,4.655
775,4.65
776,4.63
777,4.61
778,4.59
779,4.555
780,4.515
781,4.495
782,4.465
783,4.44
784,4.415
785,4.36
786,4.3
787,4.26
788,4.22
789,4.205
790,4.195
791,4.225
792,4.28
793,4.305
794,4.33
795,4.375
796,4.45
797,4.54
798,4.605
799,4.645
800,4.66
801,4.695
802,4.725
803,4.775
804,4.805
805,4.825
806,4.83
807,4.84
808,4.84
809,4.835
810,4.85
811,4.86
812,4.865
813,4.855
814,4.855
815,4.855
816,4.855
817,4.855
818,4.86
819,4.85
820,4.835
821,4.86
822,4.905
823,4.93
824,4.91
825,4.89
826,4.865
827,4.865
828,4.89
829,4.885
830,4.885
831,4.875
832,4.89
833,4.905
834,4.9
835,4.9
836,4.9
837,4.895
838,4.89
839,4.895
840,4.915
841,4.93
842,4.92
843,4.905
844,4.89
845,4.9
846,4.935
847,4.95
848,4.96
849,4.94
850,4.92
851,4.915
852,4.945
853,4.985
854,5.01
855,4.975
856,4.945
857,4.94
858,4.965
859,4.985
860,4.995
861,4.975
862,4.97
863,4.98
864,4.975
865,5.0
866,5.025
867,5.02
868,5.0
869,5.015
870,5.01
871,5.01
872,5.005
873,5.005
874,4.995
875,5.015
876,5.025
877,5.03
878,5.035
879,5.02
880,4.99
881,4.97
882,4.98
883,5.01
884,5.05
885,5.055
886,5.015
887,4.985
888,4.98
889,5.01
890,5.03
891,5.015
892,4.995
893,4.99
894,4.975
895,4.99
896,4.97
897,4.94
898,4.935
899,4.93
900,4.935
901,4.95
902,4.945
903,4.92
904,4.91
905,4.905
906,4.91
907,4.91
908,4.895
909,4.885
910,4.875
911,4.87
912,4.89
913,4.9
914,4.895
915,4.885
916,4.855
917,4.865
918,4.87
919,4.88
920,4.88
921,4.865
922,4.85
923,4.845
924,4.855
925,4.87
926,4.855
927,4.85
928,4.82
929,4.845
930,4.855
931,4.855
932,4.86
933,4.85
934,4.825
935,4.825
936,4.835
937,4.845
938,4.845
939,4.825
940,4.81
941,4.795
942,4.81
943,4.83
944,4.83
945,4.825
946,4.815
947,4.805
948,4.81
949,4.815
950,4.83
951,4.81
952,4.785
953,4.775
954,4.775
955,4.785
956,4.79
957,4.79
958,4.78
959,4.77
960,4.775
961,4.79
962,4.79
963,4.775
964,4.745
965,4.76
966,4.77
967,4.78
968,4.775
969,4.75
970,4.75
971,4.76
972,4.755
973,4.775
974,4.765
975,4.75
976,4.75
977,4.745
978,4.765
979,4.775
980,4.78
981,4.77
982,4.755
983,4.75
984,4.755
985,4.765
986,4.755
987,4.745
988,4.75
989,4.755
990,4.78
991,4.805
992,4.785
993,4.77
994,4.755
995,4.77
996,4.77
997,4.785
998,4.78
999,4.765
1000,4.77
1001,4.785
1002,4.78
1003,4.79
1004,4.77
1005,4.765
1006,4.77
1007,4.795
1008,4.805
1009,4.795
1010,4.78
1011,4.755
1012,4.76
1013,4.78
1014,4.795
1015,4.8
1016,4.79
1017,4.78
1018,4.765
1019,4.79
1020,4.8
1021,4.795
1022,4.785
1023,4.795
1024,4.79
1025,4.795
1026,4.8
1027,4.79
1028,4.78
1029,4.775
1030,4.795
1031,4.81
1032,4.81
1033,4.81
1034,4.81
1035,4.795
1036,4.8
1037,4.815
1038,4.82
1039,4.815
1040,4.785
1041,4.785
1042,4.785
1043,4.815
1044,4.83
1045,4.82
1046,4.805
1047,4.785
1048,4.8
1049,4.815
1050,4.83
1051,4.825
1052,4.82
1053,4.8
1054,4.815
1055,4.835
1056,4.84
1057,4.845
1058,4.855
1059,4.87
1060,4.89
1061,4.9
1062,4.91
1063,4.925
1064,4.93
1065,4.94
1066,4.955
1067,4.985
1068,5.01
1069,5.03
1070,5.025
1071,5.02
1072,5.01
1073,5.005
1074,5.03
1075,5.045
1076,5.045
1077,5.05
1078,5.065
1079,5.08
1080,5.055
1081,5.005
1082,4.955
1083,4.895
1084,4.875
1085,4.835
1086,4.815
1087,4.77
1088,4.755
1089,4.75
1090,4.765
1091,4.77
1092,4.775
1093,4.775
1094,4.76
1095,4.76
1096,4.77
1097,4.78
1098,4.785
1099,4.765
1100,4.755
1101,4.74
1102,4.75
1103,4.765
1104,4.79
1105,4.78
1106,4.77
1107,4.765
1108,4.765
1109,4.77
1110,4.78
1111,4.775
1112,4.765
1113,4.76
1114,4.77
1115,4.77
1116,4.79
1117,4.785
1118,4.765
1119,4.755
1120,4.765
1121,4.765
1122,4.77
1123,4.775
1124,4.78
1125,4.78
1126,4.77
1127,4.76
1128,4.75
1129,4.74
1130,4.775
1131,4.795
1132,4.84
1133,4.88
1134,4.9
1135,4.875
1136,4.8
1137,4.68
1138,4.605
1139,4.605
1140,4.61
1141,4.62
1142,4.615
1143,4.565
1144,4.52
1145,4.485
1146,4.47
1147,4.445
1148,4.415
1149,4.375
1150,4.335
1151,4.275
1152,4.25
1153,4.22
1154,4.185
1155,4.175
1156,4.21
1157,4.25
1158,4.275
1159,4.3
1160,4.355
1161,4.43
1162,4.51
1163,4.57
1164,4.605
1165,4.645
1166,4.68
1167,4.735
1168,4.75
1169,4.79
1170,4.815
1171,4.84
1172,4.84
1173,4.825
1174,4.815
1175,4.83
1176,4.84
1177,4.83
1178,4.83
1179,4.83
1180,4.835
1181,4.845
1182,4.85
1183,4.835
1184,4.84
1185,4.82
1186,4.82
1187,4.85
1188,4.865
1189,4.86
1190,4.86
1191,4.84
1192,4.85
1193,4.85
1194,4.865
1195,4.85
1196,4.86
1197,4.84
1198,4.845
1199,4.85
1200,4.87
1201,4.88
1202,4.885
1203,4.855
1204,4.855
1205,4.875
1206,4.875
1207,4.88
1208,4.88
1209,4.875
1210,4.885
1211,4.915
1212,4.935
1213,4.92
1214,4.915
1215,4.9
1216,4.905
1217,4.915
1218,4.92
1219,4.92
1220,4.925
1221,4.925
1222,4.935
1223,4.94
1224,4.94
1225,4.95
1226,4.95
1227,4.93
1228,4.925
1229,4.96
1230,4.97
1231,4.985
1232,4.96
1233,4.95
1234,4.96
1235,4.97
1236,4.99
1237,4.99
1238,4.97
1239,4.965
1240,4.96
1241,4.97
1242,4.96
1243,4.96
1244,4.97
1245,4.975
1246,4.97
1247,4.97
1248,4.98
1249,4.965
1250,4.97
1251,4.945
1252,4.94
1253,4.95
1254,4.945
1255,4.94
1256,4.92
1257,4.905
1258,4.905
1259,4.91
1260,4.92
1261,4.91
1262,4.905
1263,4.885
1264,4.875
1265,4.88
1266,4.87
1267,4.865
1268,4.87
1269,4.855
1270,4.86
1271,4.87
1272,4.865
1273,4.88
1274,4.88
1275,4.865
1276,4.855
1277,4.85
1278,4.865
1279,4.865
1280,4.87
1281,4.87
1282,4.865
1283,4.86
1284,4.875
1285,4.87
1286,4.87
1287,4.845
1288,4.855
1289,4.855
1290,4.87
1291,4.865
1292,4.85
1293,4.845
1294,4.85
1295,4.84
1296,4.855
1297,4.855
1298,4.84
1299,4.835
1300,4.83
1301,4.85
1302,4.86
1303,4.845
1304,4.82
1305,4.825
1306,4.845
1307,4.845
1308,4.845
1309,4.845
1310,4.83
1311,4.805
1312,4.815
1313,4.805
1314,4.83
1315,4.835
1316,4.815
1317,4.81
1318,4.8
1319,4.815
1320,4.805
1321,4.81
1322,4.775
1323,4.765
1324,4.77
1325,4.785
1326,4.805
1327,4.805
1328,4.77
1329,4.77
1330,4.785
1331,4.785
1332,4.795
1333,4.795
1334,4.78
1335,4.77
1336,4.765
1337,4.77
1338,4.785
1339,4.785
1340,4.78
1341,4.745
1342,4.75
1343,4.775
1344,4.81
1345,4.815
1346,4.8
1347,4.785
1348,4.79
1349,4.805
1350,4.82
1351,4.83
1352,4.815
1353,4.8
1354,4.81
1355,4.8
1356,4.81
1357,4.805
1358,4.79
1359,4.8
1360,4.8
1361,4.81
1362,4.83
1363,4.815
1364,4.82
1365,4.805
1366,4.805
1367,4.8
1368,4.81
1369,4.815
1370,4.815
1371,4.81
1372,4.825
1373,4.84
1374,4.84
1375,4.83
1376,4.805
1377,4.78
1378,4.78
1379,4.805
1380,4.85
1381,4.86
1382,4.85
1383,4.83
1384,4.835
1385,4.83
1386,4.84
1387,4.84
1388,4.82
1389,4.82
1390,4.81
1391,4.83
1392,4.84
1393,4.835
1394,4.83
1395,4.815
1396,4.81
1397,4.84
1398,4.86
1399,4.865
1400,4.88
1401,4.875
1402,4.885
1403,4.9
1404,4.905
1405,4.91
1406,4.92
1407,4.935
1408,4.95
1409,4.98
1410,4.995
1411,5.005
1412,5.015
1413,5.02
1414,5.04
1415,5.055
1416,5.065
1417,5.06
1418,5.06
1419,5.06
1420,5.055
1421,5.06
1422,5.065
1423,5.05
1424,5.03
1425,4.975
1426,4.93
1427,4.895
1428,4.85
1429,4.81
1430,4.775
1431,4.76
1432,4.76
1433,4.775
1434,4.8
1435,4.805
1436,4.795
1437,4.78
1438,4.775
1439,4.775
1440,4.78
1441,4.775
1442,4.75
1443,4.755
1444,4.775
1445,4.785
1446,4.805
1447,4.795
1448,4.775
1449,4.75
1450,4.76
1451,4.785
1452,4.78
1453,4.78
1454,4.785
1455,4.76
1456,4.76
1457,4.77
1458,4.79
1459,4.785
1460,4.795
1461,4.785
1462,4.78
1463,4.775
1464,4.795
1465,4.795
1466,4.78
1467,4.745
1468,4.73
1469,4.75
1470,4.79
1471,4.81
1472,4.82
1473,4.83
1474,4.825
1475,4.775
1476,4.675
1477,4.625
1478,4.595
1479,4.59
1480,4.605
1481,4.595
1482,4.58
1483,4.525
1484,4.48
1485,4.43
1486,4.41
1487,4.39
1488,4.36
1489,4.295
1490,4.245
1491,4.205
1492,4.2
1493,4.205
1494,4.24
1495,4.255
1496,4.27
1497,4.285
1498,4.35
1499,4.455
1500,4.535
1501,4.59
1502,4.635
1503,4.665
1504,4.715
1505,4.765
1506,4.795
1507,4.82
1508,4.825
1509,4.82
1510,4.82
1511,4.83
1512,4.845
1513,4.84
1514,4.835
1515,4.835
1516,4.855
1517,4.875
1518,4.875
1519,4.87
1520,4.84
1521,4.82
1522,4.845
1523,4.89
1524,4.905
1525,4.91
1526,4.9
1527,4.88
1528,4.87
1529,4.865
1530,4.875
1531,4.88
1532,4.87
1533,4.875
1534,4.875
1535,4.885
1536,4.89
1537,4.9
1538,4.895
1539,4.89
1540,4.915
1541,4.92
1542,4.93
1543,4.935
1544,4.94
1545,4.925
1546,4.91
1547,4.905
1548,4.93
1549,4.94
1550,4.945
1551,4.935
1552,4.925
1553,4.94
1554,4.96
1555,4.975
1556,4.96
1557,4.955
1558,4.975
1559,4.975
1560,4.99
1561,4.96
1562,4.95
1563,4.935
1564,4.96
1565,5.005
1566,5.02
1567,5.015
1568,4.995
1569,4.985
1570,5.015
1571,5.05
1572,5.075
1573,5.075
1574,5.02
1575,5.005
1576,5.015
1577,5.025
1578,5.05
1579,5.045
1580,5.03
1581,5.005
1582,4.99
1583,4.995
1584,5.025
1585,5.015
1586,4.975
1587,4.995
1588,5.02
1589,5.02
1590,5.0
1591,4.965
1592,4.955
1593,4.945
1594,4.935
1595,4.95
1596,4.95
1597,4.925
1598,4.885
1599,4.88
1600,4.92
1601,4.955
1602,4.97
1603,4.94
1604,4.915
1605,4.9
1606,4.935
1607,4.95
1608,4.96
1609,4.96
1610,4.93
1611,4.895
1612,4.9
1613,4.92
1614,4.925
1615,4.905
1616,4.93
1617,4.92
1618,4.91
1619,4.905
1620,4.91
1621,4.905
1622,4.9
1623,4.915
1624,4.925
1625,4.945
1626,4.97
1627,4.95
1628,4.92
1629,4.89
1630,4.885
1631,4.895
1632,4.91
1633,4.91
1634,4.905
1635,4.89
1636,4.895
1637,4.9
1638,4.895
1639,4.885
1640,4.88
1641,4.875
1642,4.88
1643,4.875
1644,4.87
1645,4.86
1646,4.845
1647,4.83
1648,4.85
1649,4.89
1650,4.87
1651,4.84
1652,4.815
1653,4.825
1654,4.81
1655,4.79
1656,4.77
1657,4.78
1658,4.775
1659,4.745
1660,4.71
1661,4.775
1662,4.86
1663,4.87
1664,4.82
1665,4.82
1666,4.845
1667,4.875
1668,4.89
1669,4.875
1670,4.84
1671,4.835
1672,4.885
1673,4.925
1674,4.92
1675,4.895
1676,4.88
1677,4.88
1678,4.89
1679,4.895
1680,4.89
1681,4.885
1682,4.875
1683,4.855
1684,4.87
1685,4.9
1686,4.895
1687,4.9
1688,4.88
1689,4.865
1690,4.86
1691,4.885
1692,4.895
1693,4.89
1694,4.875
1695,4.875
1696,4.875
1697,4.89
1698,4.89
1699,4.895
1700,4.875
1701,4.865
1702,4.87
1703,4.885
1704,4.91
1705,4.9
1706,4.865
1707,4.855
1708,4.855
1709,4.86
1710,4.89
1711,4.895
1712,4.895
1713,4.85
1714,4.865
1715,4.855
1716,4.86
1717,4.85
1718,4.87
1719,4.885
1720,4.895
1721,4.87
1722,4.835
1723,4.82
1724,4.85
1725,4.915
1726,5.0
1727,5.015
1728,4.975
1729,4.975
1730,4.98
1731,4.975
1732,4.97
1733,4.96
1734,4.975
1735,5.01
1736,5.03
1737,5.025
1738,5.04
1739,5.055
1740,5.075
1741,5.085
1742,5.075
1743,5.085
1744,5.105
1745,5.115
1746,5.12
1747,5.105
1748,5.12
1749,5.125
1750,5.13
1751,5.13
1752,5.125
1753,5.09
1754,5.04
1755,4.99
1756,4.955
1757,4.915
1758,4.87
1759,4.84
1760,4.835
1761,4.845
1762,4.88
1763,4.9
1764,4.875
1765,4.84
1766,4.805
1767,4.79
1768,4.82
1769,4.855
1770,4.87
1771,4.855
1772,4.81
1773,4.755
1774,4.73
1775,4.73
1776,4.76
1777,4.82
1778,4.865
1779,4.85
1780,4.825
1781,4.835
1782,4.815
1783,4.795
1784,4.84
1785,4.89
1786,4.915
1787,4.89
1788,4.865
1789,4.865
1790,4.85
1791,4.82
1792,4.81
1793,4.84
1794,4.855
1795,4.86
1796,4.82
1797,4.735
1798,4.69
1799,4.72
1800,4.76
1801,4.74
1802,4.72
1803,4.695
1804,4.655
1805,4.61
1806,4.56
1807,4.53
1808,4.545
1809,4.53
1810,4.51
1811,4.49
1812,4.445
1813,4.415
1814,4.39
1815,4.385
1816,4.37
1817,4.34
1818,4.28
1819,4.215
1820,4.175
1821,4.165
1822,4.22
1823,4.295
1824,4.36
1825,4.39
1826,4.42
1827,4.485
1828,4.555
1829,4.62
1830,4.67
1831,4.715
1832,4.805
1833,4.885
1834,4.905
1835,4.91
1836,4.925
1837,4.925
1838,4.925
1839,4.895
1840,4.905
1841,4.915
1842,4.945
1843,4.93
1844,4.905
1845,4.885
1846,4.89
1847,4.915
1848,4.93
1849,4.94
1850,4.955
1851,4.97
1852,4.97
1853,4.945
1854,4.905
1855,4.86
1856,4.885
1857,4.935
1858,5.005
1859,5.045
1860,5.055
1861,5.02
1862,4.995
1863,4.98
1864,4.955
1865,4.98
1866,4.975
1867,4.985
1868,4.99
1869,4.99
1870,4.995
1871,5.0
1872,5.01
1873,5.01
1874,5.01
1875,4.99
1876,5.0
1877,5.025
1878,5.05
1879,5.06
1880,5.06
1881,5.06
1882,5.045
1883,5.04
1884,5.045
1885,5.05
1886,5.055
1887,5.055
1888,5.055
1889,5.05
1890,5.05
1891,5.045
1892,5.085
1893,5.105
1894,5.09
1895,5.065
1896,5.075
1897,5.095
1898,5.105
1899,5.1
1900,5.115
1901,5.125
1902,5.11
1903,5.11
1904,5.11
1905,5.11
1906,5.105
1907,5.11
1908,5.11
1909,5.08
1910,5.055
1911,5.04
1912,5.03
1913,5.03
1914,5.065
1915,5.085
1916,5.08
1917,5.045
1918,5.02
1919,5.03
1920,5.045
1921,5.05
1922,5.035
1923,5.005
1924,4.99
1925,4.995
1926,4.995
1927,4.985
1928,4.96
1929,4.95
1930,4.96
1931,4.96
1932,4.955
1933,4.965
1934,4.95
1935,4.94
1936,4.94
1937,4.945
1938,4.94
1939,4.935
1940,4.925
1941,4.915
1942,4.91
1943,4.905
1944,4.915
1945,4.92
1946,4.91
1947,4.91
1948,4.905
1949,4.895
1950,4.895
1951,4.865
1952,4.87
1953,4.865
1954,4.875
1955,4.87
1956,4.87
1957,4.88
1958,4.905
1959,4.91
1960,4.9
1961,4.89
1962,4.895
1963,4.895
1964,4.875
1965,4.85
1966,4.86
1967,4.865
1968,4.875
1969,4.875
1970,4.855
1971,4.835
1972,4.835
1973,4.83
1974,4.835
1975,4.82
1976,4.81
1977,4.805
1978,4.805
1979,4.815
1980,4.815
1981,4.805
1982,4.78
1983,4.77
1984,4.77
1985,4.79
1986,4.795
1987,4.795
1988,4.785
1989,4.75
1990,4.75
1991,4.75
1992,4.775
1993,4.775
1994,4.77
1995,4.755
1996,4.745
1997,4.755
1998,4.765
1999,4.76
2000,4.76
2001,4.765
2002,4.775
2003,4.755
2004,4.715
2005,4.71
2006,4.755
2007,4.79
2008,4.8
2009,4.79
2010,4.76
2011,4.75
2012,4.75
2013,4.75
2014,4.75
2015,4.75
2016,4.755
2017,4.745
2018,4.75
2019,4.74
2020,4.76
2021,4.775
2022,4.78
2023,4.79
2024,4.785
2025,4.76
2026,4.75
2027,4.77
2028,4.78
2029,4.77
2030,4.75
2031,4.73
2032,4.735
2033,4.76
2034,4.77
2035,4.77
2036,4.77
2037,4.76
2038,4.765
2039,4.78
2040,4.765
2041,4.76
2042,4.745
2043,4.76
2044,4.765
2045,4.755
2046,4.745
2047,4.74
2048,4.75
2049,4.765
2050,4.77
2051,4.77
2052,4.76
2053,4.755
2054,4.745
2055,4.745
2056,4.765
2057,4.77
2058,4.775
2059,4.775
2060,4.755
2061,4.75
2062,4.78
2063,4.815
2064,4.82
2065,4.8
2066,4.78
2067,4.79
2068,4.83
2069,4.86
2070,4.86
2071,4.845
2072,4.835
2073,4.83
2074,4.825
2075,4.85
2076,4.88
2077,4.945
2078,4.97
2079,4.965
2080,4.965
2081,4.98
2082,5.0
2083,4.995
2084,4.985
2085,4.995
2086,4.995
2087,5.005
2088,5.02
2089,5.015
2090,4.985
2091,4.945
2092,4.92
2093,4.91
2094,4.885
2095,4.84
2096,4.78
2097,4.73
2098,4.71
2099,4.715
2100,4.735
2101,4.74
2102,4.735
2103,4.725
2104,4.74
2105,4.75
2106,4.755
2107,4.735
2108,4.725
2109,4.72
2110,4.75
2111,4.75
2112,4.75
2113,4.75
2114,4.745
2115,4.735
2116,4.72
2117,4.73
2118,4.76
2119,4.755
2120,4.74
2121,4.725
2122,4.715
2123,4.73
2124,4.755
2125,4.765
2126,4.76
2127,4.74
2128,4.73
2129,4.755
2130,4.775
2131,4.765
2132,4.73
2133,4.675
2134,4.675
2135,4.705
2136,4.735
2137,4.73
2138,4.725
2139,4.695
2140,4.655
2141,4.575
